number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_max_iter,params_selection,params_tol,state
0,0.9242726389254342,2025-06-21 22:32:28.428177,2025-06-21 22:32:28.474175,0 days 00:00:00.045998,0.43733434032348006,False,5000,random,0.0007618690808009665,COMPLETE
1,0.6664987293926028,2025-06-21 22:32:28.474175,2025-06-21 22:32:28.535693,0 days 00:00:00.061518,0.002817936375026706,True,8000,cyclic,0.003958210293622329,COMPLETE
2,0.8571170873285456,2025-06-21 22:32:28.535693,2025-06-21 22:32:28.583692,0 days 00:00:00.047999,0.023186377669802485,False,8000,cyclic,3.472388882479594e-05,COMPLETE
3,0.7728280792795448,2025-06-21 22:32:28.584692,2025-06-21 22:32:28.634209,0 days 00:00:00.049517,0.011740698703606986,True,1000,random,0.006150064470836368,COMPLETE
4,0.8161716486528903,2025-06-21 22:32:28.635211,2025-06-21 22:32:28.698209,0 days 00:00:00.062998,0.01683927068177527,True,6000,random,0.00023692305063496968,COMPLETE
5,0.7740133702606048,2025-06-21 22:32:28.700209,2025-06-21 22:32:28.778730,0 days 00:00:00.078521,0.00640082286273589,False,3000,cyclic,6.23480383290894e-05,COMPLETE
6,0.9367645606010528,2025-06-21 22:32:28.779733,2025-06-21 22:32:28.835254,0 days 00:00:00.055521,0.5153962048538107,False,8000,cyclic,2.3980383985526007e-05,COMPLETE
7,0.7404052153873633,2025-06-21 22:32:28.836258,2025-06-21 22:32:28.879255,0 days 00:00:00.042997,0.008517341423495712,True,6000,cyclic,3.360160762325558e-05,COMPLETE
8,0.8654819166093571,2025-06-21 22:32:28.880255,2025-06-21 22:32:28.926768,0 days 00:00:00.046513,0.0334819583811256,False,7000,cyclic,1.702743251569082e-05,COMPLETE
9,0.739707688614273,2025-06-21 22:32:28.926768,2025-06-21 22:32:28.969766,0 days 00:00:00.042998,0.00180312379066405,False,7000,random,5.825013443645995e-05,COMPLETE
10,0.6412854181034482,2025-06-21 22:32:28.969766,2025-06-21 22:32:29.025280,0 days 00:00:00.055514,0.0002668306864055296,True,10000,cyclic,0.007816566139676812,COMPLETE
11,0.6408026898255462,2025-06-21 22:32:29.025280,2025-06-21 22:32:29.074280,0 days 00:00:00.049000,0.00020807312142236912,True,10000,cyclic,0.009263139180998971,COMPLETE
12,0.6411631133987187,2025-06-21 22:32:29.075283,2025-06-21 22:32:29.123791,0 days 00:00:00.048508,0.000243393608289694,True,10000,cyclic,0.0020721696278383213,COMPLETE
13,0.6397659669275881,2025-06-21 22:32:29.124790,2025-06-21 22:32:29.171796,0 days 00:00:00.047006,0.00010522771248916546,True,10000,cyclic,0.0013556199016735524,COMPLETE
14,0.6403857856517088,2025-06-21 22:32:29.171796,2025-06-21 22:32:29.216814,0 days 00:00:00.045018,0.00016081691145218002,True,9000,cyclic,0.001022070562309994,COMPLETE
15,0.6476223110491492,2025-06-21 22:32:29.217805,2025-06-21 22:32:29.267315,0 days 00:00:00.049510,0.00086362965292252,True,10000,cyclic,0.0009143894766633382,COMPLETE
16,0.639842833351907,2025-06-21 22:32:29.268315,2025-06-21 22:32:29.318320,0 days 00:00:00.050005,0.00010974685905789126,True,9000,cyclic,0.00025750160067550916,COMPLETE
17,0.6460619032956608,2025-06-21 22:32:29.319320,2025-06-21 22:32:29.371842,0 days 00:00:00.052522,0.0006985656428679973,True,3000,cyclic,0.0002271322743514816,COMPLETE
18,0.6399004082429474,2025-06-21 22:32:29.372842,2025-06-21 22:32:29.425355,0 days 00:00:00.052513,0.0001218988385291148,True,9000,random,0.0004086464893437176,COMPLETE
19,0.8588990827188888,2025-06-21 22:32:29.426362,2025-06-21 22:32:29.470356,0 days 00:00:00.043994,0.08289907040939676,True,5000,cyclic,0.00012427178634400954,COMPLETE
20,0.6451730360596324,2025-06-21 22:32:29.471357,2025-06-21 22:32:29.537888,0 days 00:00:00.066531,0.0006013619540202894,True,9000,cyclic,0.0022622308438257055,COMPLETE
21,0.6399314060051171,2025-06-21 22:32:29.538881,2025-06-21 22:32:29.597878,0 days 00:00:00.058997,0.00011217903227289556,True,9000,random,0.00047444856024054323,COMPLETE
22,0.6430740525100874,2025-06-21 22:32:29.597878,2025-06-21 22:32:29.650389,0 days 00:00:00.052511,0.00040569566898370396,True,9000,random,0.0004394991638118249,COMPLETE
23,0.6398983697482192,2025-06-21 22:32:29.651389,2025-06-21 22:32:29.711391,0 days 00:00:00.060002,0.00011288461579381963,True,7000,random,0.00014930608508589792,COMPLETE
24,0.6554886051284787,2025-06-21 22:32:29.711391,2025-06-21 22:32:29.764902,0 days 00:00:00.053511,0.0016198306895361615,True,8000,random,0.00013281177507916086,COMPLETE
25,0.6397940754118516,2025-06-21 22:32:29.765902,2025-06-21 22:32:29.823416,0 days 00:00:00.057514,0.00010372935263256812,True,7000,random,0.00011400527633806634,COMPLETE
26,0.6430194064620511,2025-06-21 22:32:29.824417,2025-06-21 22:32:29.872425,0 days 00:00:00.048008,0.0004015279808560232,True,7000,random,7.803753327614296e-05,COMPLETE
27,0.6746478296163666,2025-06-21 22:32:29.873417,2025-06-21 22:32:29.924852,0 days 00:00:00.051435,0.003543268006686178,True,4000,cyclic,0.0017488898798757513,COMPLETE
28,0.6506275095734299,2025-06-21 22:32:29.925857,2025-06-21 22:32:29.981853,0 days 00:00:00.055996,0.001135162765248161,True,8000,random,0.0006712835634873036,COMPLETE
29,0.8718926382921925,2025-06-21 22:32:29.981853,2025-06-21 22:32:30.030361,0 days 00:00:00.048508,0.08021749519711348,False,6000,random,0.00026493116414442596,COMPLETE
30,1.0001595451603345,2025-06-21 22:32:30.031361,2025-06-21 22:32:30.080366,0 days 00:00:00.049005,0.9064270214422925,True,10000,cyclic,0.0012327081369242641,COMPLETE
31,0.6400975447328815,2025-06-21 22:32:30.081363,2025-06-21 22:32:30.141085,0 days 00:00:00.059722,0.000134500029552025,True,7000,random,0.0001460536449726775,COMPLETE
32,0.6427252019643991,2025-06-21 22:32:30.142086,2025-06-21 22:32:30.204686,0 days 00:00:00.062600,0.00038019618939790954,True,5000,random,8.864110730032678e-05,COMPLETE
33,0.6398704250286673,2025-06-21 22:32:30.205686,2025-06-21 22:32:30.257768,0 days 00:00:00.052082,0.00010720016511094315,True,8000,random,1.0700306946996299e-05,COMPLETE
34,0.6407407555601448,2025-06-21 22:32:30.258768,2025-06-21 22:32:30.307771,0 days 00:00:00.049003,0.00021384967794549098,True,8000,random,0.0035902873087866522,COMPLETE
35,0.642842804666103,2025-06-21 22:32:30.307771,2025-06-21 22:32:30.364308,0 days 00:00:00.056537,0.00038792143438239545,True,9000,random,1.0470220961013322e-05,COMPLETE
36,0.7274802665854982,2025-06-21 22:32:30.364308,2025-06-21 22:32:30.422828,0 days 00:00:00.058520,0.00010507381328335906,False,8000,random,4.318585986783731e-05,COMPLETE
37,0.6413348665750563,2025-06-21 22:32:30.423832,2025-06-21 22:32:30.472828,0 days 00:00:00.048996,0.0002509823488961058,True,1000,cyclic,0.0006498091248461375,COMPLETE
38,0.6447237860649625,2025-06-21 22:32:30.473839,2025-06-21 22:32:30.524302,0 days 00:00:00.050463,0.0005262798495007545,True,6000,cyclic,1.6120292387335106e-05,COMPLETE
39,0.7587102827401749,2025-06-21 22:32:30.524302,2025-06-21 22:32:30.571302,0 days 00:00:00.047000,0.004438581323611426,False,9000,random,0.004198168769130015,COMPLETE
40,0.6508408573870686,2025-06-21 22:32:30.572302,2025-06-21 22:32:30.626815,0 days 00:00:00.054513,0.0011579038128769537,True,7000,cyclic,0.00020217592762787135,COMPLETE
41,0.6404383477372348,2025-06-21 22:32:30.627815,2025-06-21 22:32:30.678817,0 days 00:00:00.051002,0.00016519748175106025,True,7000,random,0.00034192938546501026,COMPLETE
42,0.6397674192535984,2025-06-21 22:32:30.679814,2025-06-21 22:32:30.740345,0 days 00:00:00.060531,0.00010277124830227715,True,8000,random,0.0001713821451765716,COMPLETE
43,0.6418713562322254,2025-06-21 22:32:30.741347,2025-06-21 22:32:30.799350,0 days 00:00:00.058003,0.00030978966075356166,True,8000,random,3.0079259853028795e-05,COMPLETE
44,0.6405841957319751,2025-06-21 22:32:30.799350,2025-06-21 22:32:30.848875,0 days 00:00:00.049525,0.00018675632817029324,True,10000,random,5.558215807119998e-05,COMPLETE
45,0.7279560034883842,2025-06-21 22:32:30.849874,2025-06-21 22:32:30.898885,0 days 00:00:00.049011,0.00017275926267783326,False,8000,random,0.00011063814698663843,COMPLETE
46,0.639809914170335,2025-06-21 22:32:30.899877,2025-06-21 22:32:30.946980,0 days 00:00:00.047103,0.00010495329173105737,True,8000,cyclic,0.00019385698400426572,COMPLETE
47,0.6414478167394584,2025-06-21 22:32:30.947980,2025-06-21 22:32:31.000978,0 days 00:00:00.052998,0.00025630249578569307,True,10000,cyclic,0.00018517712811987982,COMPLETE
48,0.8556623474654966,2025-06-21 22:32:31.001982,2025-06-21 22:32:31.055506,0 days 00:00:00.053524,0.028513365655216772,True,9000,cyclic,8.713415532163631e-05,COMPLETE
49,0.7895385333260184,2025-06-21 22:32:31.055506,2025-06-21 22:32:31.112510,0 days 00:00:00.057004,0.013719911701555256,True,6000,cyclic,0.00026636647882529856,COMPLETE
50,0.7279344291903732,2025-06-21 22:32:31.113511,2025-06-21 22:32:31.164017,0 days 00:00:00.050506,0.0001674687385477549,False,9000,cyclic,0.0005510645238645635,COMPLETE
51,0.6398289251236828,2025-06-21 22:32:31.164017,2025-06-21 22:32:31.223531,0 days 00:00:00.059514,0.00010652124046632496,True,8000,cyclic,0.00031634624338439603,COMPLETE
52,0.639753005765468,2025-06-21 22:32:31.224531,2025-06-21 22:32:31.278531,0 days 00:00:00.054000,0.0001002442348811858,True,7000,cyclic,0.0003373650424842769,COMPLETE
53,0.639753005765468,2025-06-21 22:32:31.279532,2025-06-21 22:32:31.337050,0 days 00:00:00.057518,0.0001000775107217426,True,7000,cyclic,0.00017226451697589112,COMPLETE
54,0.6404433080874172,2025-06-21 22:32:31.337050,2025-06-21 22:32:31.386051,0 days 00:00:00.049001,0.00016360413952306056,True,6000,cyclic,0.00018449111881077616,COMPLETE
55,0.6410610427401526,2025-06-21 22:32:31.387053,2025-06-21 22:32:31.438202,0 days 00:00:00.051149,0.00024092013158897286,True,7000,cyclic,0.00010365823089548129,COMPLETE
56,0.6448394356744725,2025-06-21 22:32:31.438202,2025-06-21 22:32:31.493202,0 days 00:00:00.055000,0.0005293466005600201,True,5000,cyclic,5.7231682833053116e-05,COMPLETE
57,0.641667602903997,2025-06-21 22:32:31.494209,2025-06-21 22:32:31.548720,0 days 00:00:00.054511,0.00029289355664602226,True,2000,cyclic,0.0003471036307612928,COMPLETE
