number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,2.0920116954842434,2025-06-21 14:07:35.044021,2025-06-21 14:07:37.062690,0 days 00:00:02.018669,0.8973170749258089,0.08063336950895338,8,30,118,44,0.07897220627125778,0.2634912304048749,0.9453600910139666,COMPLETE
1,2.2217810345449953,2025-06-21 14:07:37.062690,2025-06-21 14:07:38.237586,0 days 00:00:01.174896,0.8565329674501401,0.08207867601348974,4,30,100,30,0.28759047962810314,0.07861568441046168,0.766975043922219,COMPLETE
2,2.184961917481861,2025-06-21 14:07:38.244047,2025-06-21 14:07:39.627572,0 days 00:00:01.383525,0.6065456932279388,0.06122214762617668,5,23,118,35,0.0477902651524823,0.23005678185398476,0.8288415496329771,COMPLETE
3,2.2682741941305995,2025-06-21 14:07:39.628557,2025-06-21 14:07:41.557821,0 days 00:00:01.929264,0.7608692842802167,0.025600528555318147,8,27,123,39,0.46304177126588186,0.259033641501401,0.905628471544424,COMPLETE
4,2.243367144352597,2025-06-21 14:07:41.557821,2025-06-21 14:07:42.987920,0 days 00:00:01.430099,0.9739926560031402,0.07303530294174237,3,30,156,46,0.14491114729711124,0.10400802837879919,0.6751955874426293,COMPLETE
5,2.109049561419341,2025-06-21 14:07:42.988953,2025-06-21 14:07:44.570243,0 days 00:00:01.581290,0.8285594950797726,0.09947657242961166,5,32,136,32,0.06844098238493934,0.43105359515727615,0.7981818130354377,COMPLETE
6,2.2330794498790745,2025-06-21 14:07:44.570243,2025-06-21 14:07:46.619168,0 days 00:00:02.048925,0.6243008894460353,0.021802063076894397,6,25,180,49,0.36541495209624186,0.029306258220924142,0.9275856609860869,COMPLETE
7,2.201241742771541,2025-06-21 14:07:46.619168,2025-06-21 14:07:47.841869,0 days 00:00:01.222701,0.7958928641428766,0.08524512199902183,4,36,112,42,0.26505507962059094,0.038565269129667845,0.8773331009419822,COMPLETE
8,2.136050247265639,2025-06-21 14:07:47.841869,2025-06-21 14:07:49.845010,0 days 00:00:02.003141,0.9466666570801303,0.08976828858811141,4,25,206,37,0.3115403458554046,0.4011195342564828,0.7520341392920952,COMPLETE
9,2.1441721113236833,2025-06-21 14:07:49.845010,2025-06-21 14:07:51.641678,0 days 00:00:01.796668,0.8781633394497932,0.09033817035390099,4,20,183,46,0.13174572609001334,0.4776073020026641,0.8145421704387223,COMPLETE
10,2.1228386817312206,2025-06-21 14:07:51.642678,2025-06-21 14:07:54.154572,0 days 00:00:02.511894,0.7264998992748636,0.04515281326235543,10,40,246,23,0.16293025801758088,0.2624463128843698,0.9834746699590413,COMPLETE
11,2.0775367288741293,2025-06-21 14:07:54.155571,2025-06-21 14:07:56.104190,0 days 00:00:01.948619,0.8811186528291892,0.09984810651456646,8,34,145,30,0.010906377036309214,0.3507631187488186,0.6824887183067231,COMPLETE
12,2.127134245388586,2025-06-21 14:07:56.104190,2025-06-21 14:07:58.120705,0 days 00:00:02.016515,0.9087506209214192,0.06721166139375949,8,34,149,25,0.03861158991142342,0.3409199285439165,0.6234985455634675,COMPLETE
13,2.10157744648594,2025-06-21 14:07:58.120705,2025-06-21 14:08:00.215556,0 days 00:00:02.094851,0.9222852801732607,0.07575922287407441,8,37,155,28,0.0010589792679297355,0.16451040257400934,0.6865790352908329,COMPLETE
14,2.146698913475075,2025-06-21 14:08:00.217558,2025-06-21 14:08:02.188815,0 days 00:00:01.971257,0.7172051115701192,0.04770164286513149,10,33,136,41,0.19768539359328946,0.3290709662008423,0.9842374673111141,COMPLETE
15,2.0751182182435115,2025-06-21 14:08:02.188815,2025-06-21 14:08:04.436655,0 days 00:00:02.247840,0.9744587221210461,0.09917605764354467,7,28,207,21,0.10306650296824621,0.3440636941455998,0.7100414061006668,COMPLETE
16,2.074576760639642,2025-06-21 14:08:04.436655,2025-06-21 14:08:06.748062,0 days 00:00:02.311407,0.9838549751735147,0.0989650317545536,7,27,208,21,0.21165398272872568,0.35956559759157386,0.703039216906035,COMPLETE
17,2.1663357759087463,2025-06-21 14:08:06.748062,2025-06-21 14:08:09.460531,0 days 00:00:02.712469,0.9986434727469444,0.03886807307192957,7,27,216,21,0.20816374440933508,0.4015819983585939,0.6114564923053619,COMPLETE
18,2.129372270151247,2025-06-21 14:08:09.462533,2025-06-21 14:08:11.828695,0 days 00:00:02.366162,0.9550542046634178,0.059566463502707986,6,20,213,20,0.3595219811472037,0.20165789655589106,0.728150366619278,COMPLETE
19,2.3206872901851785,2025-06-21 14:08:11.828695,2025-06-21 14:08:14.901641,0 days 00:00:03.072946,0.9695356264913021,0.012523026406661225,7,27,232,24,0.10595121461797963,0.498623408635834,0.7173799086467413,COMPLETE
20,2.0626646933545105,2025-06-21 14:08:14.901641,2025-06-21 14:08:17.454746,0 days 00:00:02.553105,0.9998775887851539,0.09347642982046564,9,23,195,26,0.21685913109366534,0.30899065726481306,0.6560114743567305,COMPLETE
21,2.0605710572862144,2025-06-21 14:08:17.455751,2025-06-21 14:08:20.029950,0 days 00:00:02.574199,0.9956827633130996,0.09452426764621694,10,23,196,26,0.2168020090010445,0.30311586343680097,0.646427317477869,COMPLETE
22,2.0623398187921884,2025-06-21 14:08:20.029950,2025-06-21 14:08:22.518678,0 days 00:00:02.488728,0.9914992472287065,0.0913628960760274,9,23,192,27,0.2144808402505462,0.2827221557640266,0.6413933380251844,COMPLETE
23,2.066851965491102,2025-06-21 14:08:22.518678,2025-06-21 14:08:24.910417,0 days 00:00:02.391739,0.9483543678883553,0.08978796788155809,9,22,194,27,0.2359783345373574,0.31142717449693424,0.6447805044695366,COMPLETE
24,2.087860520521243,2025-06-21 14:08:24.910417,2025-06-21 14:08:27.419980,0 days 00:00:02.509563,0.999765224375035,0.07042675738976063,9,23,167,32,0.1700535951225544,0.2956493849591958,0.651954971215676,COMPLETE
25,2.0691260874273545,2025-06-21 14:08:27.419980,2025-06-21 14:08:29.769883,0 days 00:00:02.349903,0.9331499874283709,0.09198471108155688,9,22,187,26,0.33283287025238023,0.1841275032418635,0.652919718849599,COMPLETE
26,2.0847200664187993,2025-06-21 14:08:29.769883,2025-06-21 14:08:31.802351,0 days 00:00:02.032468,0.6615500330328523,0.07823706417129016,10,25,168,29,0.2581185839382899,0.14827296857569008,0.6078730239589435,COMPLETE
27,2.068801212865033,2025-06-21 14:08:31.802351,2025-06-21 14:08:34.227373,0 days 00:00:02.425022,0.841002354286978,0.08552329494842599,9,24,223,24,0.4098955654472708,0.29009705199994495,0.6009024914379969,COMPLETE
28,2.0808937660181206,2025-06-21 14:08:34.232249,2025-06-21 14:08:36.885691,0 days 00:00:02.653442,0.9227563899547505,0.06639628408569834,10,20,193,32,0.2361320302336029,0.22832734659021,0.6402305182800755,COMPLETE
