number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.31654708543353904,2025-06-21 20:33:03.813848,2025-06-21 20:33:25.608100,0 days 00:00:21.794252,0.9839342756573497,0.0812769791640138,7,24,829,89,0.4471725922922748,0.07989611014459608,0.7388190902589405,COMPLETE
1,0.5287843453057867,2025-06-21 20:33:25.610085,2025-06-21 20:33:33.750071,0 days 00:00:08.139986,0.9155390818379427,0.04807507699753943,3,48,788,45,0.34031483838493304,0.1597108201694788,0.870649881390452,COMPLETE
2,0.47744555982202996,2025-06-21 20:33:33.751070,2025-06-21 20:33:39.761210,0 days 00:00:06.010140,0.5923444804209789,0.07314585937151326,4,14,645,154,0.514435984769973,0.7391344141764227,0.5591528196467688,COMPLETE
3,0.2595374075307475,2025-06-21 20:33:39.762210,2025-06-21 20:34:23.131865,0 days 00:00:43.369655,0.9532460353600971,0.07114607557026746,16,22,836,161,0.21436787517749079,0.08827701580380387,0.6153246742556762,COMPLETE
4,0.4097227353671482,2025-06-21 20:34:23.132865,2025-06-21 20:34:34.316860,0 days 00:00:11.183995,0.6015145429145086,0.042995930692754966,9,47,288,193,0.4826145855210565,0.6485978337174169,0.5006048554717619,COMPLETE
5,0.3036417982554399,2025-06-21 20:34:34.316860,2025-06-21 20:34:58.184830,0 days 00:00:23.867970,0.6965329694023279,0.05962177237413766,13,21,502,195,0.3167074195706602,0.6965921265506092,0.8771252268374105,COMPLETE
6,0.3246461165224479,2025-06-21 20:34:58.185823,2025-06-21 20:35:09.890264,0 days 00:00:11.704441,0.6374004899040845,0.14342177877036585,14,28,786,47,0.1322883823188753,0.6173629372131381,0.887326774683906,COMPLETE
7,0.40018296052934166,2025-06-21 20:35:09.890264,2025-06-21 20:35:22.621012,0 days 00:00:12.730748,0.5274324682176792,0.041160454557006586,16,47,421,116,0.09469647766544897,0.598226179145238,0.9902482846747016,COMPLETE
8,0.6832113480371927,2025-06-21 20:35:22.622011,2025-06-21 20:35:29.664393,0 days 00:00:07.042382,0.555306675097222,0.005305416115360579,4,12,674,62,0.5462238853265917,0.21373187695469364,0.5405160936075375,COMPLETE
9,0.425218863166671,2025-06-21 20:35:29.665450,2025-06-21 20:35:41.377695,0 days 00:00:11.712245,0.766880626094081,0.06473112038247458,5,47,904,244,0.1029468977041259,0.9340910047890008,0.632986164186222,COMPLETE
10,0.6393432799313158,2025-06-21 20:35:41.378694,2025-06-21 20:35:50.011936,0 days 00:00:08.633242,0.8332610898898827,0.015322485537156058,11,3,123,157,0.7751873677928197,0.3393952300157033,0.6804703712450786,COMPLETE
11,0.4051540501206916,2025-06-21 20:35:50.012937,2025-06-21 20:36:21.924762,0 days 00:00:31.911825,0.7146836837948178,0.018990258384442342,14,28,484,216,0.2630309585803073,0.4177354772276577,0.7874416599233904,COMPLETE
12,0.21978456401595925,2025-06-21 20:36:21.925761,2025-06-21 20:37:04.487657,0 days 00:00:42.561896,0.7307423204134109,0.19710031549178897,12,21,992,189,0.9863631646596648,0.8648723355180516,0.855402375943939,COMPLETE
13,0.22465644215659153,2025-06-21 20:37:04.488664,2025-06-21 20:37:37.901047,0 days 00:00:33.412383,0.8294272469625921,0.19363618051011933,16,36,981,124,0.9393323669961563,0.9156209149681336,0.7918494840950294,COMPLETE
14,0.22418853551850193,2025-06-21 20:37:37.902048,2025-06-21 20:38:09.713182,0 days 00:00:31.811134,0.8366711241537115,0.1923390908227469,11,37,995,118,0.9405620768727809,0.9954903394884438,0.8028165744406172,COMPLETE
15,0.2449931996890241,2025-06-21 20:38:09.714181,2025-06-21 20:38:34.781973,0 days 00:00:25.067792,0.8303765776591849,0.138598416996638,10,36,972,100,0.9974989644663477,0.9857642029817965,0.9588860268088281,COMPLETE
