number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.6841788409846884,2025-06-21 21:26:35.723732,2025-06-21 21:26:35.934336,0 days 00:00:00.210604,0.6118018711163624,0.055602848687773695,3,26,106,98,0.9952918870860407,0.7342927171379425,0.500289946048572,COMPLETE
1,0.5946630198930126,2025-06-21 21:26:35.935339,2025-06-21 21:26:39.914957,0 days 00:00:03.979618,0.7887269540883721,0.005128500644067321,15,38,764,121,0.06556180157471314,0.6075417368781062,0.6072548368353292,COMPLETE
2,0.6611097885209699,2025-06-21 21:26:39.915946,2025-06-21 21:26:41.734294,0 days 00:00:01.818348,0.7542442019627784,0.00728343054891556,16,26,327,95,0.6552052936652161,0.7579245501022629,0.6560738816070437,COMPLETE
3,0.5786400484249624,2025-06-21 21:26:41.735295,2025-06-21 21:26:44.928770,0 days 00:00:03.193475,0.9432388428820402,0.009986699677919689,13,32,579,84,0.4461359830655418,0.3578876533942008,0.8599775918635926,COMPLETE
4,0.5332779931381084,2025-06-21 21:26:44.929774,2025-06-21 21:26:47.512558,0 days 00:00:02.582784,0.8979186018483982,0.02729582982689186,8,24,507,210,0.029643670289921764,0.49893872325904587,0.7885125144494249,COMPLETE
5,0.5434948117879991,2025-06-21 21:26:47.513769,2025-06-21 21:26:48.821946,0 days 00:00:01.308177,0.7734136897041739,0.051066675731010897,7,7,322,251,0.7359170235651641,0.1965597315163985,0.7513476872067728,COMPLETE
6,0.627833172479175,2025-06-21 21:26:48.822946,2025-06-21 21:26:51.727561,0 days 00:00:02.904615,0.9302263136952238,0.005152791091619658,14,23,863,34,0.09097788157477749,0.5174762157190105,0.8866886736295172,COMPLETE
7,0.5258671141453861,2025-06-21 21:26:51.728562,2025-06-21 21:26:54.245303,0 days 00:00:02.516741,0.858846629126045,0.032632854390868854,14,36,776,73,0.4355388315501951,0.7824059641198,0.5869829501924527,COMPLETE
8,0.6582181566130506,2025-06-21 21:26:54.247300,2025-06-21 21:26:56.589871,0 days 00:00:02.342571,0.7085016639616681,0.007151360746003134,12,35,285,192,0.5311089987781502,0.03000375107090114,0.623357918043006,COMPLETE
9,0.6106686835202423,2025-06-21 21:26:56.591028,2025-06-21 21:26:58.566576,0 days 00:00:01.975548,0.5788859825274728,0.009765179173082105,12,22,654,34,0.26960908300707664,0.49549981448835145,0.860403331638211,COMPLETE
10,0.30953557058430636,2025-06-21 21:26:58.568573,2025-06-21 21:27:03.525909,0 days 00:00:04.957336,0.8327394930906671,0.1708426079378408,10,49,987,174,0.29724557413507346,0.95738743130969,0.9909155905269207,COMPLETE
11,0.32586660425928526,2025-06-21 21:27:03.527908,2025-06-21 21:27:07.972932,0 days 00:00:04.445024,0.8469720804205346,0.18276622530542902,9,50,949,159,0.31107152072573313,0.9675607703871666,0.9862476970944676,COMPLETE
12,0.30319493646506246,2025-06-21 21:27:07.973935,2025-06-21 21:27:12.979169,0 days 00:00:05.005234,0.8265883558402581,0.19997694266475094,10,50,998,173,0.24682951789393315,0.9827621720930311,0.996995372370825,COMPLETE
13,0.43792150376850325,2025-06-21 21:27:12.980168,2025-06-21 21:27:15.565739,0 days 00:00:02.585571,0.9883224027216476,0.18595529096397143,6,50,970,165,0.260546370044508,0.992452094238738,0.9950498379103979,COMPLETE
14,0.34283383147645774,2025-06-21 21:27:15.566733,2025-06-21 21:27:20.913301,0 days 00:00:05.346568,0.7032952059986053,0.10215524037395723,10,43,991,211,0.3127603320564756,0.8861129356023827,0.9319752543467318,COMPLETE
15,0.3908893789022271,2025-06-21 21:27:20.914298,2025-06-21 21:27:24.267359,0 days 00:00:03.353061,0.5086167880427809,0.10264004217078466,10,44,815,151,0.1687442118790603,0.8633513287214578,0.9273617266944552,COMPLETE
16,0.5225453962705711,2025-06-21 21:27:24.268353,2025-06-21 21:27:25.738211,0 days 00:00:01.469858,0.8309688913912876,0.13094098994229722,5,13,685,254,0.5665247501848161,0.6627709903509909,0.8080532476461466,COMPLETE
17,0.3991203446466971,2025-06-21 21:27:25.739210,2025-06-21 21:27:30.510438,0 days 00:00:04.771228,0.6759945838769708,0.060585059437873186,11,44,891,189,0.16185392171911403,0.8690712184695192,0.9381084933784072,COMPLETE
18,0.5606858023123507,2025-06-21 21:27:30.511442,2025-06-21 21:27:32.889738,0 days 00:00:02.378296,0.809639685265401,0.01730581849080853,8,17,474,128,0.40828354968370917,0.9849775033290507,0.9945487090318567,COMPLETE
19,0.5456812853539252,2025-06-21 21:27:32.889738,2025-06-21 21:27:34.418226,0 days 00:00:01.528488,0.8813170759492414,0.08598921977426092,5,42,697,227,0.7858569247869311,0.6636696960317716,0.6981311323087107,COMPLETE
20,0.31746333184075204,2025-06-21 21:27:34.419223,2025-06-21 21:27:39.177417,0 days 00:00:04.758194,0.9885455950156958,0.13991092653408355,11,49,907,179,0.17563013514812367,0.31269450711687163,0.8056022189107767,COMPLETE
21,0.31507323504165996,2025-06-21 21:27:39.178419,2025-06-21 21:27:43.912065,0 days 00:00:04.733646,0.9894958509797012,0.14469996191332363,11,50,903,179,0.14755028521070546,0.31408267725760197,0.8963658915409676,COMPLETE
22,0.34128462047159225,2025-06-21 21:27:43.912065,2025-06-21 21:27:48.078552,0 days 00:00:04.166487,0.9324502669456034,0.1435545325208565,9,46,871,173,0.35021370945679364,0.2068926184132116,0.9443833586526756,COMPLETE
23,0.30495371503436974,2025-06-21 21:27:48.079559,2025-06-21 21:27:52.473415,0 days 00:00:04.393856,0.9009072633317718,0.19786229707660946,11,40,989,142,0.22688324797932125,0.3639424765786116,0.8941055083074732,COMPLETE
24,0.3818983401590952,2025-06-21 21:27:52.474415,2025-06-21 21:27:56.719917,0 days 00:00:04.245502,0.8828772237550485,0.07793387784892862,12,40,990,142,0.22145802707070272,0.368117150836261,0.9618953107597686,COMPLETE
25,0.3540305597004614,2025-06-21 21:27:56.719917,2025-06-21 21:27:59.983841,0 days 00:00:03.263924,0.8111948117091952,0.19716320011428173,8,33,817,123,0.3715764380496663,0.9009681012315035,0.8888246562326154,COMPLETE
26,0.3795939759385334,2025-06-21 21:27:59.984840,2025-06-21 21:28:03.134100,0 days 00:00:03.149260,0.7347788588526969,0.11514086957130396,10,30,739,143,0.25626420992726934,0.00942432427344253,0.8381130805637524,COMPLETE
