number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,2.139804353319135,2025-06-21 01:03:40.010182,2025-06-21 01:03:42.048317,0 days 00:00:02.038135,0.7666119191522478,0.06564530197205669,6,39,113,45,0.14309730529091996,0.21309460766683186,0.8346192247581925,COMPLETE
1,2.155073457748258,2025-06-21 01:03:42.048317,2025-06-21 01:03:43.893132,0 days 00:00:01.844815,0.6999215714584412,0.07813174013478913,4,35,196,43,0.3497006159170106,0.313694977258596,0.9620299341840255,COMPLETE
2,2.5044580009385267,2025-06-21 01:03:43.893132,2025-06-21 01:03:45.241214,0 days 00:00:01.348082,0.7941398037476995,0.012887521401097496,3,34,124,21,0.227166266666466,0.2903791764954807,0.9110578555889026,COMPLETE
3,2.1680323430675377,2025-06-21 01:03:45.247293,2025-06-21 01:03:47.394020,0 days 00:00:02.146727,0.9298078448693453,0.07046133912233875,4,34,187,32,0.31222736013411967,0.12981317268822207,0.8816612701705162,COMPLETE
4,2.2624986463559904,2025-06-21 01:03:47.394020,2025-06-21 01:03:49.556722,0 days 00:00:02.162702,0.7614309960364776,0.026166710295311993,5,20,159,48,0.48944731812967524,0.11775949667028712,0.7951733093656046,COMPLETE
5,2.06320615095838,2025-06-21 01:03:49.556722,2025-06-21 01:03:52.448928,0 days 00:00:02.892206,0.7576099047991256,0.07897728948841697,10,35,187,35,0.22469447878429355,0.1437591628316538,0.962007224619551,COMPLETE
6,2.131682489261091,2025-06-21 01:03:52.448928,2025-06-21 01:03:54.426101,0 days 00:00:01.977173,0.7615837503860763,0.08948262970047445,8,24,106,27,0.011411738703688945,0.47471278415430296,0.7077643013112795,COMPLETE
7,2.000685846298235,2025-06-21 01:03:54.426101,2025-06-21 01:03:57.541264,0 days 00:00:03.115163,0.723461949426619,0.09881349259801869,6,22,244,49,0.11747513807083337,0.034383026111177495,0.6184668134048481,COMPLETE
8,2.2884525141681404,2025-06-21 01:03:57.541264,2025-06-21 01:03:59.935273,0 days 00:00:02.394009,0.7028234892855514,0.020235141252094798,7,33,142,39,0.03894653056911601,0.047616082097768686,0.9003436285046372,COMPLETE
9,2.0833483738223295,2025-06-21 01:03:59.937276,2025-06-21 01:04:02.124252,0 days 00:00:02.186976,0.8165633912532715,0.09635544945553288,9,38,116,39,0.2590057989927058,0.36321407752303936,0.8652366933916087,COMPLETE
10,2.071039237627694,2025-06-21 01:04:02.124252,2025-06-21 01:04:05.483590,0 days 00:00:03.359338,0.6295835224097857,0.04382339462782206,7,27,247,50,0.129119847554034,0.02174418616854634,0.6012743723550413,COMPLETE
